author,date,text,rating,source
И,27 апреля 2023,"Отзыв от компании ООО ""АвтопартУнивекс"". Работаем с ППР с 2012 года. Очень удобный личный кабинет. Удобно управлять автопарком, карточки принимают почти на всех заправках не только Москвы и области, но и других регионов. Большой спектр услуг. Удобное отслеживание штрафов. Сегодня получили транспондеры от компании ППР. Это еще один плюс. так как теперь отслеживать баланс стало проще. Хочу особенно выразить благодарность нашему менеджеру Алине Семиякиной. С момента заявки на подключение услуги и подписания доп. соглашения до момента получения транспондера прошло 2 дня. Алина была всегда на связи. Четко объясняла и помогала. ОГРОМНОЕ СПАСИБО. Все оперативно и профессионально. От компании ППР только положительные эмоции. Рекомендую...",5,yandex
Павел Морозов,2 декабря 2023,"Все нравится, очень удобно работать с отсрочкой. Заказываем шины уже не первый сезон. Спасибо Ольге Лихачевой, нашему менеджеру, за оперативную помощь , всем советую 👍👍👍",5,yandex
Ксения Келлерман,24 декабря 2024,"Прекрасный , шустрый специалист, спасибо за работу",5,yandex
Елена,29 ноября 2023,"Отличная организация! Много сервисов, доступный личный кабинет. Индивидуальный подход. Персональный менеджер Елена всегда ответит и оперативно решит любые поставленные задачи.",5,yandex
Фатеева Елена,3 октября 2023,"Серьезная надежная компания! Приятно работать с таким партнером. Грамотные сотрудники всегда готовы оказать помощь. Карты обслуживаются везде. У водителей есть мобилка, они всегда могут найти заправку по пути. Рекомендую к сотрудничеству! Ребята-молодцы!",5,yandex
Алексей Басалаев,13 сентября 2023,"Мало заправок. Никаких скидок. Любая корпоративная карта выгоднее. Берут деньги за обслуживание лицевого счета, поднимают цены.
Но отзыв заставило меня написать не это. Мы работали с ППР, работали по предоплате. Если деньги на счету заканчивались - заправиться было нельзя. Ну мы и перестали заправляться. Спустя несколько месяцев присылают они нам требование - мол, долг 540 рублей. Я говорю - по договору его быть не может ну никак, вы нас в кредит не заправляли. Теперь они передали этот ""долг"" коллекторам из ""МБА Финансы"". Чудики еще те. Ошиблись в биллинге - ну так и скажите, оплачу и всё, не те деньги. Но теперь нет, натравили на меня коллекторов, если я дождусь иска - мба пойдут за вымогательство, а ппр за мошенничество, предоставив им подложные документы. Не рекомендую связываться, по-хорошему потом не расстанетесь.",1,yandex
А,22 апреля 2024,"С компанией ППР работаем давно. В основной массе только положительные отзывы. бывают правда косяки с сервисом отображения и оплата штрафов. Но после обращения к прикреплённому специалисту, проблема решается оперативно. Желаю всех благ и процветания компании.",4,yandex
Сергей Полухин,4 ноября 2024,"После подписания документов на расторжение договора продолжают снимать деньги со счета, после чего не закрывают счет, ссылаясь на задолжность. Снимают деньги за неоказанные услуги!!",1,yandex
Компания Содействие,21 февраля 2024,"В общем - работать не хотят. Работает только колл центр, который безуспешно уточняет информацию и далее никакой информации не выдает. Менеджеры - мертвые души, никого нет и никто не работает, даже в почте никто не отвечает. 

Отзывы восторга на яндексе очень похожи не заказные и все выглядят как реклама. Не тратьте свое время, у сетей автозаправок есть свои топливные карты, а в остальном есть Яндекс.Заправки.",1,yandex
ООО ТРАНССТРОЙ,8 августа 2023,"Наша компания работает с ООО ""Джи Пи Си РУС"" через систему ППР с 2022 года. Менеджеры ООО ""ДПСР"" всегда на связи и все вопросы стараются решить в максимально короткие сроки, ответственные, дружелюбные, внимательные к клиенту. Личный кабинет ППР удобный. Отчеты по заправкам, оплатам и прочим операциям понятные и детализированные. Наш персональный менеджер Хижнякова Елена, делает сотрудничество с ООО ""Джи Пи Си Рус"" плодотворным, легким, комфортным, отвечая на все наши запросы оперативно, грамотно и доброжелательно.",5,yandex
П,18 ноября 2023,"Пользуемся картами уже несколько лет, нареканий в сервисе нет, наш менеджер на любой вопрос находит ответ, приходит на помощь. Мобильное приложение очень удобное, в целом довольны и руководители, и сотрудники.",5,yandex
А,26 января 2023,"Отзыв от лица компании ООО ""Прогресс Транс"": Абсолютно довольны сотрудничеством с компанией ППР. Удобный сервис, отличное обслуживание. Отдельный орден Иванушкиным Екатерине и Анастасии. Комфортно, оперативно, четко! Рекомендуем к сотрудничеству1",5,yandex
Алина Т.,2 декабря 2023,"Сервис на высоком уровне
Несколько лет работаем с ППР. Устраивает широкая сеть и удобный личный кабинет. Отдельно хочу отметить нашего менеджера Ольгу, она помощник во многих вопросах.",5,yandex
Юлия Буянова,5 октября 2023,"Благодарю компанию ППР за ответственность и серьезный подход. В настоящее время на топливном рынке не все так гладко, но мы продолжаем работать по картам Вездеход. Есть своевременные оповещения обо всех изменениях, наш менеджер все подробно поясняет. Хотелось бы вернуть скидки, но мы понимаем, что в текущей обстановке это тяжело.",5,yandex
Дмитрий,31 августа 2023,"От лица КФХ Жилина, Благодарю ООО ППР за надежное обеспечение топливом, в регионе присутствия большая сеть АЗС разных брендов принимающих карты Вездеход. Очень функциональный личный кабинет с большим набором сервисов. Платежи по договору проходят весьма оперативно, работают без сбоев!",5,yandex
Марина С.,29 августа 2023,"Отзыв от компании ООО ""ЕвроАзия+"". Мы благодарим нашего персонального менеджера Марию Болдыреву за быстрое решение вопросов и помощь . Очень приятно когда в компании такие профессиональные работники. Надеемся на дальнейшее плодотворное сотрудничество с ППР !",5,yandex
Диана Вахрушева,17 мая 2023,"Хочу выразить благодарность сотруднику данной организации Оксане Лазаревой. Приятно работать с людьми, которые относятся к своей работе настолько ответственно. Внимание, уважение и забота по отношение к клиенту, как правило, дает возможность для долгого, стабильного и плодотворного сотрудничества. Оксана одна из немногих кто это понимает.",5,yandex
Валерия Ш.,30 ноября 2023,"Работаем с ППР не первый год, за это время не было ситуаций, чтобы усомниться в правильности выбора компании. Все четко и по делу. Менеджер Анна Борисенко компетентно отвечает на все поставленные вопросы, быстро решает поставленные задачи. В общем, рекомендуем компанию к сотрудничеству.",5,yandex
Виталий Эрлих,21 ноября 2023,"Поддерживаю положительные отзывы в адрес этой компании . Действительно очень легко и комфортно работать с ней. Особенно я хочу выделить Личный кабинет и аналитические отчеты, которые позволяют планировать затраты ГСМ на квартал. Мы довольны сотрудничеством!",5,yandex
А,28 ноября 2023,Отличная компания! Работаем с ними по страхованию техники (КАСКО и ОСАГО). Всё чётко и по лучшим ценам. Менеджер Оксана Алымова Вы супер! :-),5,yandex
Валерий Глазунов,28 марта 2023,"От лица нашей компании хотим выразить особенную благодарность нашему персональному менеджеру Семиякиной Алине, которая, будучи все время на связи, консультирует и помогает в решении всех вопросов по топливным картам, как по действующим, так и по новым! У Алины очень высокие профессиональные компетенции, оперативно помогает сотрудникам нашей компании и нашим водителям в режиме онлайн. 
Мы очень благодарны компании ППР, что в ней работают такие высококвалифицированные сотрудники! 
Глазунов Валерий Петрович, 
Операционный директор ООО Карго Драгон",5,yandex
Кэт,6 сентября 2023,"Хотите получить порцию нервотрепки и адреналина? Позвоните в коллцентр ППР. Здесь работает правило: ""сколько людей-столько и мнений"". Вы не услышите одинаковый ответ 2 раза ни по срокам решения проблемы, ни по порядку Ваших действий. Просто дно. 2 дня пытаемся зачислить свои же деньги на счет своей же компании. Информация от сотрудников и в чат-боте рознится постоянно. Менеджер так же бесполезна в решении проблемы. Вы серьезно? Вопрос же элементарный. И все остальное хорошо, но работа сотрудников вообще отбивает желание к вам обращаться. Ваш номер только врагам скидывать в качестве мести.",1,yandex
Юля Р.,5 сентября 2023,"Работаю с этой компанией не первый год. Менеджеры исполняют все поставление задачи в срок, оперативно решают возникающие вопросы, сопровождают на всем пути работы с ППР. 
Очень рекомендую их для сотрудничества!",5,yandex
Роман С.,25 мая 2023,"Спасибо за хороший объёмный продукт , за хорошую службу поддержки клиентов , всё работает , много дополнительных опций .
Хорошо теперь расширять сеть по дополнительним опциям : шинмонтажи , эвакуаторы , круглосуточные авто сервисы итп.. возможно лизинг или автокредитные организации с ндс .",5,yandex
"ООО ""ГРАДОС""",15 января 2024,"Постоянно добавляются новые сервисы.
Использовать сервисы просто - есть приложение и сайт с интуитивно понятным интерфейсом. За более 5-летний период работы обращение в службу поддержки не потребовалось",5,yandex
Людмила .,28 сентября 2023,"Отвратительное обслуживание своих клиентов. Менеджеры работают только на завлечение - после Вы будете часами висеть на трубке их горячей линии или общаться с ботами, которые не смогут вас даже направить в нужном направлении. Повышение тарифов, изменение условий в одностороннем порядке является нормой, на все вопросы - шаблонные ответы -перефразирую ""разбирайтесь сами, ищите на сайте, следите за изменениями самостоятельно нам все равно"" )) Это не профессионально для такого крупного оператора - коем Вы себя считаете.",1,yandex
Марина Чистова,3 июля 2024,"Добрый день. 
Очень нравиться данная компания. Менеджеры внимательны и всегда помогут в решение вопросов",5,yandex
Антон,18 марта,Ну крутые ребята. Все очень на высоте,5,yandex
Антон Ч.,11 сентября 2023,"Работаем с ППР давно. Чем дольше, тем хуже. Не компетентные сотрудники, не обязательные, безответственные. Начался полный обман, как только ситуация на рынке топлива изменилась в сторону роста цен. ППР самостоятельно изменила условие договора не уведомив клиента. На просьбу прислать письмо об уведомлении уже два дня прошу, письма нет. Худшего отношения к своим клиентам на таком уровне ещё не наблюдал. ППР просто рухнули на дно своего бизнеса.",1,yandex
Хабиб У.,14 февраля,4 часа проторчал на заправке из за того что 4 часа не приходил смс код !!!,1,yandex
Инкогнито 8582,12 февраля 2024,Сотрудничать стали не так давно. Удобно оплачивать за топливо. Наш менеджер Олеся Тарасенко всегда на связи объяснит пояснит и подскажет.,5,yandex
Владимир Ж,12 октября 2021,"Уже второй год пользуемся в 2-х транспортных компаниях данными картами. Отчетность четкая. Есть возможность овердрафта. Принимают почти на всех заправках. Удобно в управлении парком. Отслеживает штрафы. Водители пользуются мойками и шиномонтажом. Отдельное удобство - это парковки Москвы. У водителей никогда нет денег и потом штрафы оправдывают, что не было денег на оплату, а теперь нет проблем. Приложение устанавливается в телефон и проблем нет. Недавно был сбой в приложении ""Паркоматика""(это приложение парковок), менеджер Юлия оперативно все решила и водитель смог спокойно работать.",5,yandex
Гость,10 ноября 2023,"К сожалению, нельзя оставить несколько отзывов подряд. Опять столкнулись с той же проблемой, не могут качественно выписать документы 


Ужасный сервис.
Дозвониться невозможно, портал работает через раз 
На протяжении многих месяцев выставляют документы с ошибками. Каждый раз просим переделать, прикладываем документы, на следующей месяц одно и тоже.

Бот не соответствует ожиданиям",1,yandex
ден денверов,23 января 2023,"Работаем как юр. Лицо больше 13 лет с ппр. Компания в общем надежная, расширенная сеть АЗС, можно подключить много услуг к картам в в виде моек, страховок, иногда случаются сбои, за 2022 было 2 массовых сбоя из за хакерских атак, которые к сожелен решились не быстро, сутки не могли заправится по картам, машины стояли, было множество отписок, но проблему устроил. Перезаключили новый договор, более выгодный тариф, появился персональный менеджер, видно улучшения в обслуживании. В общем работать можно.",4,yandex
Олег,30 ноября 2023,"Классный офис, просторный, со всеми плюшками в виде кухни с фруктами/овощами и печеньками. Открытые и дружелюбные сотрудники.",5,yandex
irubliov,24 октября 2023,"Работаем с компанией ППР больше 6 лет. И только сегодня узнали, что наш тариф оказывается архивный, поэтому мы за каждый литр ДТ переплачиваем ППР по 5 рублей. В чеке АЗС 4402рубля за 70 литров, а ППР с нас берет 4702р. по отчету о транзакциях. Настоятельно советую всем перепроверить свои тарифы и транзакции. Нет желания считать убытки в связи с данной ситуацией, будем искать более адекватных контрагентов.",1,yandex
Виталий В.,17 октября 2023,"Отзыв от компании ООО ""МРС"". Работаем с ППР более 2-х лет. Все удобно и понятно. ППР постоянно развиваются и предлагают новые услуги. Спасибо за взаимовыгодное сотрудничество!",5,yandex
Евгений Савченко,12 февраля 2024,"Работаем 5 лет с этой организацией, есть и скидки и накидки, куча допсервисов. есть возможность оплачивать сопутствующие товары на заправках",5,yandex
Курашев Андрей,9 ноября 2023,"Самовольно подключают дополнительные платные услуги, в одностороннем порядке изменяют условию договора, ссылаются на рассылку уведомлений которые никто не видел и не отвечал. На вопросы в личном кабинете ответов Не дают, самостоятельно меняют статус на ""выполнено"". НА ТЕЛЕФОН УКАЗАННЫЙ НА САЙТЕ НЕ ДОЗВОНИТЬСЯ, на просьбу перезвонить 3 раза не ответили.",1,yandex
ТЭК ДенТранс Копейск,24 января 2023,"Работаем с данной компанией с 2018 года. За время сотрудничества ППР зарекомендовал себя как ответственный, надёжный, лояльный партнёр. Больше всего нравиться то что компания не стоит на месте и постоянно внедряет новые продукты, которые действительно нужны современному бизнесу. Спасибо за сотрудничество! ООО ТЭК ДенТранс",5,yandex
ミステリーショッパー,14 февраля 2023,"Пользуюсь услугами данной компании около 5 лет.
Обещали отсрочку платежа, а по факту предложили приобретать топливо в кредит.
Аналогично с лизингом, ни одно предложение из указанных на сайте и в рассылках не подтвердилось. Как я понял, лизинговые компании им платят агентские за приведенного клиента. 
Но пару дней назад случайно увидел, что в закрывающих документах ППР не то что не предоставляет скидки, а наоборот прибавляет к стоимости топлива около 7%. 
При этом не забывают дополнительно удерживать около 1 тысячи рублей за обслуживание.
Дал распоряжение прекратить сотрудничество с данной компанией.",1,yandex
М,1 сентября 2023,"Добрый вечер. Хочется оставить отзыв о всей команде Ппр,работали с несколькими личными менеджерами,сейчас работаем с Марией! На выходных несколько раз выручали с предоставлением заправок в минус. Есть свои ньюансы,но в целом все супер!",5,yandex
Виталий,14 июня 2023,"Выгодные условия не только по заправочным картам, но и по другим сопутствующим услугам. Оперативно, корректно, ""с душой""! ОСАГО - подобрали лучшие условия на рынке!",5,yandex
Анна Каменева,17 ноября 2023,"Широкая сеть, документы вовремя, персональный менеджер Елена Х. всегда на связи. Возможность отсрочки, индивидуальный подход . Рекомендую",5,yandex
Наридин К.,21 июня 2023,"Спасибо Татьяне Хайловой и ППР за предоставление топливных карт с необходимым для нас овердрафтом и в общем профессиональную работу, оперативное решение всех текущих вопросов . Отличный менеджер , хорошая компания !",5,yandex
Павел Романченко,25 октября 2023,"Все четко работает, очень удобно при разъездной работе. Виртуальные карты и бесконтактная оплата на уровне. ЖД билеты и такси - все с одного счета",5,yandex
uza lux,26 октября 2021,"Замечательная компания, работу свою выполняют отлично.
Обширная сеть АЗС-партнеров в приложении, удобные способы оплаты, быстрое зачисление средств на расчетный счет.
Для транспортной компании, занимающейся перевозками грузов по России - согласованные индивидуальные условия договора.
Для всех кричащих ""дорогое обслуживание, цены на топливо с ""+ к цене стелы"" АЗС"" - да, есть отдельные поставщики в рамках договора, у кого цена выше, и у кого цена ниже. В данном случае нужно подобрать продукт, которым будет удобнее пользоваться картами ППР.
Так же присутствует информационный сбор, указанный в договоре. Но, уважаемые, вы сами то будете работать бесплатно? Или, по вашему мнению, топливо должно быть дешевым исключительно для вас и исключительно на всех станциях? Такого не бывает.
В заключении хотелось бы написать - ППР зарекомендовал себя надежным партнером в ведении транспортного бизнеса, и все наши знакомые, владеющие небольшими транспортными компаниями, а так же знакомые перевозчики-ИП - выбрали именно ППР для сотрудничества!",5,yandex
Оксана,9 октября 2023,"Работаем с ППР и могу сказать,что реальные скидки,мобильное приложение-что очень удобно ,обратная связь по любому вопросу.Менеждер Ольга большая молодец.Советую всем",5,yandex
Карташилов Геннадий,15 ноября 2023,"Воспользовался помощником в приложении. На простой вопрос, могу ли на конкретной станции оплатить через приложение - получаю кучу формальных ответов. Из которых не понятно ничего. А вопрос простой Да или Нет. Как результат-не удалось заправиться. Это компания такая? Или гораздо масштабнее уровень проблемы?",1,yandex
Ольга З.,30 августа 2023,"Сегодня приняли окончательное решение о расторжении договора. Наверное, худший сервис в РФ по топливным картам. Абсолютно не компетентные сотрудники. На словах говорят одно, по факту другое. Будьте готовы, что даже после приостановления действия договора и отсутствием услуг со стороны ППР, вам будут выставлять счета, как будто вы пользуетесь подпиской какого-то сервиса.",1,yandex
Ольга Г.,3 сентября 2023,"Сказочно разводят ! Чудесная кантора которая самовольно поднимает стоимость топлива на три рубля к стоимости на стелле . Обьясняя это сложной ситуацией на рынке топлива ну и естественно каким то там пунктом в договоре. Подальше от таких супер партненров надо держаться, а то так и без штанов можно остаться. Государство душит ценами еще и эти лезут и совсем не скромничают",1,yandex
Татьяна Рогачёва,2 февраля 2023,"Одна из самых удобных и надежных компаний. Никаких сложностей в процессе работы никогда не возникает. Индивидуальный подход к каждому клиенту. Очень вежливые и грамотные сотрудники, знающие и любящие свое дело.",5,yandex
Мистер икс,14 мая 2024,"Найдите пожалуйста специалиста в Вашем офисе, который ответит на вопрос, почему с 9.04.24 я на 14.05.24 г., не могу получить топливные карты. 
Ужасный сервис.",1,yandex
Наталья Ф,2 декабря 2021,"ППР – Надежный партнер!!! Доступный и очень удобный личный кабинет, широкая сеть АЗС, огромное количество дополнительных классных сервисов!!! Быстрый, качественный документооборот. Очень довольны сотрудничеством! Елена Фатеева- менеджер всегда на связи, всегда поможет, расскажет о новых фишках. Все качественно и оперативно. Рекомендую !!!",5,yandex
алексей,6 ноября 2023,Скрывают всю правку о реальных тарифах. Работал в 2023 с этой компанией и честно сказать сильно разочаровался. Менеджер впаривает карты и говорит что скидка будет на бензин. По факту вы получаете к цене на бензин +7 % от Азс. Все кто хочет переплачивать по 4-5 рублей с 1л. Велком в ППР.,1,yandex
Аня,15 февраля 2024,"Нам нравится работа ППР. Дали карту и они заправляются где угодно. Карта не привязана к региону. Так же по картам мы моем машины, очень удобно!",5,yandex
Александр Б.,28 марта 2023,"Начали работу с компанией по рекомендации друга для контроля водителей. Есть мобильное приложение , в котором можно отследить все заправки. Большое количество АЗС и очень оперативные менеджеры. Приятно работать, все слажено!",5,yandex
Светлана,27 июля 2022,"Мне очень нравится сотрудничество с Передовыми Платежными Решениями (ППР). Имея многолетний опыт сотрудничества с подобными компаниями хочу сказать: ""ППР - лучшие!""
Очень удобный сайт. Ежемесячно закрывающие документы в СБИС и дуль на электронную почту. Платежи на лицевой счет зачисляются моментально. Мало того, вы сами себе выставляете счет на комфортную сумму, сами оплачиваете и можете выслать платежку в ППР и попросить, чтобы лицевой счет пополнили не дожидаясь зачисления на расчетный. Т.е. водитель подъехал к заправке и пока открывал лючек бензобака и шел к оператору, вы успеете пополнить счет. Никаких обязательств по суммам, объемам услуг. Попробуйте- Понравится-Рекомендуйте !!!(ППР)
Я попробовала, мне понравилось и я рекомендую!",5,yandex
А,11 сентября 2023,"Работаем с компанией более 3х лет - все устраивает. В личном кабинете все отчеты, документы, есть персональный менеджер, можно отслеживать и оплачивать штрафы ГИБДД. Спасибо, что не стоите на месте",5,yandex
Август,5 февраля 2023,"Начинали работать, по-моему, в 2014-15 годах, было неплохо. Топливо по картам ППР было с дисконтом, внятная и быстрая поддержка. Сейчас: топливо дороже, оплата за информационные услуги, в поддержке вотсапа и телеграмма только боты. Отказываемся от ппр, корпоративные банковские карты с ограничением по сумме и набору возможных услуг намного удобнее и дешевле.",1,yandex
Олеся Н,19 октября 2023,"Ужасная работа приложения мобильного. Уже в который раз не смогла заправиться. А менеджеры отвечают по 10 минут, хотя в очереди была первая, и предлагают в очереди на заправку переустановить приложение. Лучше наладьте нормальную работу приложения, чем добавлять новые услуги!!!",1,yandex
Антон К.,21 июня 2023,"Давно сотрудничаем по топливным картам. Всё хорошо, сервис один из лучших. Очень удобное мобильное приложение, как для сотрудников так и для управления. Удобно заправлялся прямо из приложения. Сегодня через ППР сделал страховку ОСАГО на 2 автомобиля. Очень хорошая цена оказалась, значительно ниже предлагаемых СК вариантов. Так что, рекомендую...",5,yandex
Михаил Есаулов,25 ноября 2021,"С этой компанией работаем около полугода, за это время только положительные впечатления. Далеко немногие могут предложить такой широкий спектр услуг по приемлемой цене. Очень широкая сеть АЗС по всей стране, возможность подключения овердрафта на индивидуальных условиях, быстрое зачисление денежных средств на счет, отлаженная система отчетности, удобный Личный кабинет, оперативное решение рабочих вопросов. Отдельно хочу выразить благодарность персональному менеджеру Шапурко Виктории.",5,yandex
О,4 октября 2023,"Передовые Платежные Решения, отвратительная компания. Чат в личном кабинете постоянно зависает, на вопросы не отвечают, при звонке на горячую линию грубят и очень нагло разговаривают. Сотрудничать с данной организацией невозможно. Не советую с ними работать. Столько нервов потрачено впустую!!!",1,yandex
Дмитрий Ш.,9 февраля 2023,"Отзыв от компании ООО ""КРК СтройТех"", 
Мы очень довольны сотрудничеством с компанией ППР, Сервис простой и удобный, выручают своей многопрофильной деятельностью, напоминают о страховках, консультируют в текущих вопросах. Особый респект персональному менеджеру Баландиной Екатерине Сергеевне.",5,yandex
Дмитрий V,9 ноября 2022,"Отличный сервис (агрегатор) для оплаты топлива по чти на всех заправках России. картами этой компании можно оплатить еще мойки, шиномонтаж, паковки, такси и многое другое.
И все это с НДС по безналичному расчету.",5,yandex
Наталья Щадилова,15 октября 2021,"Являемся клиентом данной компании уже довольно длительное время. Всё четко и прозрачно. Всегда можно договориться, всё разъяснят, особенно благодаря персональному менеджеру Хижняковой Елене, которая всегда на связи, всегда поможет, если нужно. Очень приятно иметь дело с профессионалом. Никаких подводных камней нет. Есть овердрафт, шиномонтаж, мойка. Каждый месяц получаем отчет. Очень довольны.",5,yandex
Юлия Л.,3 мая 2023,"Недавно работаем с картами вездеход, сервис на уровне! Наш менеджер всегда на связи, подключили отсрочку, заправляемся бесперебойно. Спасибо Ольге за отзывчивость.",5,yandex
Наталья К.,1 декабря 2022,"Добрый день. Вынуждена оставить негативный отзыв, так как компания не идет на встречу постоянным клиентам. Надеюсь этот отзыв увидит Руководство. У нас с ППР работают 6 юридических лиц. Суммы переводов не маленькие, так как достаточно большй автопарк. По одной организации, временно, не можем осуществлять оплату, обратились за согласием на оплату третим лицом. Сегодня пошел шестой день решения этого впороса. Наш автопарк стоит. Несколько раз обращалась в чат с просьбой ускориться и войти в положение. В итоге, тишина. Никакой оперативности и ориентации на клиента. После налаживания ситуации, буду искать другую компанию для работы.",3,yandex
Тигран,12 декабря 2024,Отличное место работы с приятными людьми.,5,yandex
Андрей Андреев,22 декабря 2023,"Отличный сервис, всё быстро оформляют, дешевые тарифы. Огромное спасибо Оксане!",5,yandex
Ю,24 ноября 2023,"Спасибо ППР за работу, все на уровне, не ограничены одним тарифом, готовы работать индивидуально.
Рекомендую 👍🏽👍🏽👍🏽",5,yandex
Максим Куликов,10 января 2023,"быстрая регистрация и оформление
пополнение по безналу
много заправок (почти все) в партнерах
бонус - сопутствующие организации типа заправок и прочих шиномонтажек",5,yandex
Ксения М.,8 февраля 2024,Не предупреждая заранее устанавливают дополнительные коэф. на стоимость топлива практически на всех заправках до 7%. Клиентов не ценят своих.,1,yandex
Александр,28 июня 2022,"Добрый день! 3 года сотрудничаем с компанией ППР. За всё это время никаких негативных моментов не было. Вопросы решаются оперативно. Очень грамотный персонал, готовый проконсультировать и помочь незамедлительно. Большой спектр предоставляемых услуг, касаемо АЗС, командировок, такси. моек, шиномонтажа и т.д. Отличная компания!!!",5,yandex
алина п.,29 августа 2023,"Хочу выразить благодарность компании ППР. В частности - менеджеру Марии Болдыревой, очень компетентный и грамотный специалист.",5,yandex
Инкогнито 5577,13 февраля 2024,"Поставщик полностью устраивает. Работаем с 2018г. Особая благодарнось Елене, всегда поможет даже в не рабочее время.",5,yandex
Иван Ф.,6 октября 2023,"Работаем с ППР 2 года. Всегда можно заправиться по их картам. Доступный личный кабинет , персональный менеджер. Рекомендую к сотрудничеству!",5,yandex
Анна Туманова,11 августа 2023,"Хочу выразить благодарность ППР. С любым нашим запросом готовы прийти на помощь! У нас были разные менеджеры, все умницы!",5,yandex
Елена Романова,12 июля 2023,"Служба поддержки крайне кривая. 6 месяцев как заблокирован личный кабинет. Для разблокировки личного кабинета выслали дс с факсимиальной печатью, мною было подписано ЭЦП но их это не устраивает. Через месяц ругани выслали в ЭДО дс подписал и 2 дня они не могут обработать. крайне не рекомендую!!! Больше похоже на обман.",1,yandex
Виктория ***,8 февраля 2023,"Только начали работать с данной компанией и нам очень не нравится формат документов которые составлены не по датам, а в хаотичном порядке. Заказала обратную связь, перезвонили мне, сказали выясним этот вопрос у бухгалтерии и пропали...... нет ни ответа, ни переделанных документов (УПД)! счёт фактуру на аванс не дают!!!! отвратительное отношение к клиентам! 
очень разочарованны.",1,yandex
